CustomerID,Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,age_generations,education_level,income_class,monthly_tele_spending_ratio,data_equip_voice_sum,credit_debt_actual,other_debt_actual,total_debt,voice_to_total_ratio,equipment_to_total_ratio,data_to_total_ratio,tv_watching_level
3964-QJWTRG-NPN,Northeast,large,Female,20,15,Professional,Yes,0,No,31000,11.1,1.200909,2.240091,Yes,Unmarried,3,0,0,0,0,0,2,Own,Domestic,14300,22,Yes,Yes,Mast,2,5,816.6,No,5,19.5,34.4,Yes,29.5,126.1,Yes,No,0,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,13,No,Yes,Yes,No,No,Gen Z,Some College,LowerMiddle,0.060004898,49,120090.9,224009.1,344100,0.397959184,0.602040816,0,Medium
0648-AIPJSP-UVM,Southeast,very_small,Male,22,17,Sales,No,0,No,15000,18.6,1.22202,1.56798,Yes,Unmarried,2,6,0,0,0,1,2,Own,Foreign,6800,29,Yes,No,Visa,4,5,426,Yes,39,26.7,330.6,Yes,54.85,1975,Yes,Yes,45.65,1683.55,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,18,Yes,Yes,Yes,Yes,Yes,Gen Z,Bachelors,LowerClass,0.18695666,127.2,122202,156798,279000,0.20990566,0.431210692,0.358883648,Medium
5195-TLUDJE-HVO,West,small,Female,67,14,Sales,No,16,No,35000,9.9,0.92862,2.53638,No,Married,3,3,2,1,0,1,3,Own,Foreign,18800,24,Yes,No,Visa,35,9,1842.2,No,65,85.2,1858.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes,Boomers,Some College,LowerMiddle,0.04624905,85.2,92862,253638,346500,1,0,0,Medium
4459-VLPQUH-3OL,Southwest,medium,Male,23,16,Sales,No,0,No,20000,5.7,0.0228,1.1172,Yes,Married,5,0,0,0,0,1,3,Own,Foreign,8700,38,No,No,Visa,5,17,3409.9,Yes,36,18,199.45,No,0,0,Yes,No,0,0,Yes,No,No,,No,No,No,No,Yes,26,Yes,Yes,Yes,No,Yes,Gen Z,Bachelors,LowerClass,0.005278747,18,2280,111720,114000,1,0,0,High
8158-SMTQFB-CNO,Midwest,large,Male,26,16,Sales,No,1,No,23000,1.7,0.214659,0.176341,No,Married,4,0,0,0,0,0,1,Lease,Foreign,10600,32,No,No,Disc,8,8,2551,Yes,21,9.15,74.1,No,0,0,Yes,Yes,19.05,410.8,No,Yes,No,,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No,Gen Z,Bachelors,LowerClass,0.011054488,28.2,21465.9,17634.1,39100,0.324468085,0,0.675531915,High
9662-FUSYIM-1IV,Southwest,small,Male,64,17,Service,No,22,No,107000,5.6,1.060584,4.931416,No,Unmarried,1,11,1,1,0,1,0,NA,NA,1000,23,No,No,Visa,18,11,2282.7,No,28,24.3,264.9,Yes,35.5,970.95,Yes,No,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,21,No,No,No,No,No,Boomers,Bachelors,UpperMiddle,0.026197047,59.8,106058.4,493141.6,599200,0.406354515,0.593645485,0,Medium
7432-QKQFJJ-K72,Midwest,very_small,Female,52,14,Professional,No,10,No,77000,1.9,0.501809,0.961191,No,Unmarried,1,2,0,2,0,0,2,Own,Domestic,25600,32,No,No,Othe,3,20,8223.2,No,15,11.4,44.8,No,0,0,No,No,0,0,No,No,No,Yes,No,No,Yes,No,No,19,Yes,Yes,No,No,No,Gen X,Some College,MiddleClass,0.001386322,11.4,50180.9,96119.1,146300,1,0,0,Medium
8959-RZWRHU-ST8,West,small,Female,44,16,Professional,No,11,No,97000,14.4,5.950368,8.017632,No,Married,2,10,0,2,0,1,1,Own,Domestic,55500,31,No,Yes,AMEX,25,6,5927,No,46,44.55,612.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,13,No,No,No,No,Yes,Gen X,Bachelors,UpperMiddle,0.00751645,44.55,595036.8,801763.2,1396800,1,0,0,Medium
9124-DZALHM-S6I,Midwest,medium,Female,66,12,Professional,No,15,Yes,16000,2.6,0.102336,0.313664,No,Unmarried,1,1,1,0,0,1,1,Own,Foreign,8600,25,Yes,Yes,Mast,26,12,3265.9,Yes,53,63.15,1074.35,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,25,No,No,No,No,No,Boomers,Professional or Doctorate,LowerClass,0.019336171,63.15,10233.6,31366.4,41600,1,0,0,High
3512-MUWBGY-52X,Midwest,large,Male,47,11,Labor,No,19,No,84000,4.1,1.770216,1.673784,No,Unmarried,2,1,1,0,0,1,4,Own,Domestic,41000,29,Yes,Yes,Othe,2,11,1996.4,Yes,3,10.95,20.05,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,No,Gen X,Less Than High School,MiddleClass,0.005484873,10.95,177021.6,167378.4,344400,1,0,0,Medium
5621-QSZPSF-NF2,Southwest,very_large,Female,59,19,Professional,No,8,No,47000,8.6,1.358112,2.683888,No,Unmarried,1,7,3,0,0,0,3,Own,Domestic,28000,17,No,Yes,Disc,16,11,4889.7,No,50,25.65,446.55,Yes,31.2,1568.35,Yes,No,0,0,Yes,No,No,,No,Yes,No,No,Yes,26,Yes,Yes,No,No,No,Gen X,Masters,LowerMiddle,0.01162648,56.85,135811.2,268388.8,404200,0.451187335,0.548812665,0,High
8241-PWPONH-62O,Midwest,small,Female,33,8,Sales,No,4,No,19000,0.9,0.130131,0.040869,No,Married,5,6,0,0,0,0,2,Own,Foreign,9300,28,No,No,Mast,6,14,3382.6,No,9,10.8,37,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,27,No,No,No,No,No,Millennials,Less Than High School,LowerClass,0.00319281,10.8,13013.1,4086.9,17100,1,0,0,High
8795-FYOXCT-P09,Southeast,large,Male,44,10,Professional,No,12,No,73000,2.8,1.250928,0.793072,No,Unmarried,1,1,0,1,0,1,1,Own,Foreign,38500,25,Yes,Yes,Disc,1,12,5343.6,No,5,20.25,29.9,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,No,Gen X,Less Than High School,MiddleClass,0.00378958,20.25,125092.8,79307.2,204400,1,0,0,Medium
1705-NMIQNO-IC4,West,large,Male,58,18,Professional,No,3,No,63000,10.5,1.924965,4.690035,No,Unmarried,1,0,0,0,0,1,0,NA,NA,1000,16,No,Yes,Disc,25,10,5935,Yes,58,36.3,680.75,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,21,Yes,No,No,No,Yes,Gen X,Masters,MiddleClass,0.006116259,36.3,192496.5,469003.5,661500,1,0,0,Medium
9205-PAZEXY-90Q,Midwest,very_large,Female,72,20,Agriculture,Yes,27,Yes,17000,9.8,1.276156,0.389844,No,Married,2,0,0,0,0,1,1,Own,Foreign,9300,32,Yes,Yes,Mast,33,12,2331.7,Yes,67,41.7,954.05,Yes,38.55,2580.75,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,Yes,24,Yes,No,Yes,Yes,Yes,Boomers,Professional or Doctorate,LowerClass,0.034416949,80.25,127615.6,38984.4,166600,0.519626168,0.480373832,0,High
4225-PZZDIY-IBH,West,very_large,Female,66,13,Labor,Yes,31,Yes,23000,9.3,0.934743,1.204257,No,Married,2,9,3,0,0,0,3,Own,Domestic,11600,14,Yes,Yes,Mast,40,9,2974.7,No,72,116.1,2854.9,No,0,0,Yes,Yes,43.25,3159.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,Yes,Yes,Boomers,Some College,LowerClass,0.053568427,159.35,93474.3,120425.7,213900,0.728584876,0,0.271415124,Medium
0758-EQEGIQ-3OF,Northeast,very_large,Female,57,17,Agriculture,No,24,No,171000,9.5,1.803195,14.441805,No,Married,3,1,0,1,0,1,2,Own,Foreign,75800,19,Yes,No,Disc,19,14,3059.4,Yes,48,12.45,214.85,Yes,43.15,1990.25,Yes,Yes,40.2,1840.45,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,Gen X,Bachelors,UpperClass,0.031313329,95.8,180319.5,1444180.5,1624500,0.129958246,0.450417537,0.419624217,Medium
0649-TBFJFL-QU4,Southeast,large,Male,63,14,Labor,Yes,29,No,424000,10.7,13.111352,32.256648,No,Married,2,0,0,0,0,1,3,Own,Domestic,88600,29,No,Yes,Mast,36,10,4957.5,No,70,104.4,2540.15,No,0,0,Yes,No,0,0,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,24,No,No,No,No,Yes,Boomers,Some College,UpperClass,0.021059002,104.4,1311135.2,3225664.8,4536800,1,0,0,High
2228-KOLOPU-FY3,Southeast,very_small,Female,28,11,Professional,No,4,No,23000,4.8,0.190992,0.913008,No,Married,3,10,1,0,0,1,0,NA,NA,1000,30,Yes,No,Visa,10,17,4420.9,Yes,34,10.35,110.45,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,16,No,No,No,No,No,Millennials,Less Than High School,LowerClass,0.002341152,10.35,19099.2,91300.8,110400,1,0,0,Medium
3853-NVDCOJ-TIN,Northeast,very_large,Female,78,16,Professional,No,10,Yes,22000,15.2,0.692208,2.651792,No,Unmarried,1,0,0,0,0,0,2,Own,Foreign,10800,23,No,No,Visa,10,1,81.1,Yes,14,21.9,85.6,Yes,24.85,341.75,Yes,No,0,0,Yes,No,No,Yes,No,No,No,No,Yes,22,Yes,Yes,No,No,No,Boomers,Bachelors,LowerClass,0.18695666,46.75,69220.8,265179.2,334400,0.468449198,0.531550802,0,Medium
0765-UXAFYM-PDR,West,medium,Male,61,16,Professional,No,4,No,35000,10.1,1.233715,2.301285,No,Married,2,0,0,0,0,0,4,Lease,Domestic,9400,34,No,No,AMEX,27,8,2719.8,No,53,33.6,567.05,No,0,0,Yes,No,0,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,25,Yes,Yes,Yes,No,No,Boomers,Bachelors,LowerMiddle,0.01235385,33.6,123371.5,230128.5,353500,1,0,0,High
9937-SFPLRK-H9Y,Midwest,small,Male,70,17,Sales,Yes,2,No,28000,9.3,1.195236,1.408764,No,Married,2,9,0,0,1,0,5,Own,Domestic,15700,29,Yes,Yes,AMEX,26,8,2677.1,Yes,59,42.75,805.8,No,0,0,Yes,No,0,0,Yes,No,Yes,,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No,Boomers,Bachelors,LowerClass,0.015968772,42.75,119523.6,140876.4,260400,1,0,0,Medium
0712-WQXYVV-HUP,Southwest,very_large,Male,61,14,Labor,No,18,Yes,12000,21.5,0.56502,2.01498,No,Unmarried,1,0,0,0,0,1,3,Own,Domestic,5800,25,Yes,No,AMEX,24,10,2450.3,No,61,25.05,476.95,Yes,29.1,1790.8,Yes,No,0,0,No,No,No,,No,Yes,No,No,No,13,Yes,No,Yes,No,No,Boomers,Some College,LowerClass,0.022099335,54.15,56502,201498,258000,0.462603878,0.537396122,0,Medium
6441-FJUWZQ-7G8,West,small,Male,37,11,Professional,Yes,2,No,29000,15.7,3.319137,1.233863,Yes,Unmarried,1,0,0,0,0,0,0,NA,NA,1000,29,No,No,Othe,12,17,5566.1,Yes,39,39.3,504.45,Yes,43.5,1663.95,Yes,Yes,31.5,1199.2,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes,Millennials,Less Than High School,LowerClass,0.020535025,114.3,331913.7,123386.3,455300,0.343832021,0.380577428,0.275590551,Medium
7634-AVNEXZ-7AG,Northeast,medium,Male,39,12,Professional,No,5,No,130000,11.3,4.68611,10.00389,No,Married,4,5,0,0,0,1,2,Own,Domestic,49200,32,Yes,Yes,Disc,2,12,4537.4,No,6,4.5,11.15,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No,Millennials,Professional or Doctorate,UpperMiddle,0.000991757,4.5,468611,1000389,1469000,1,0,0,High
2041-PNMGHX-TXJ,Southwest,medium,Female,73,14,Service,No,28,Yes,69000,14.8,1.164168,9.047832,No,Married,2,0,0,0,0,0,1,Own,Foreign,22800,27,No,No,Visa,32,6,2126.7,No,62,76.35,1565.6,Yes,47.15,2874.15,Yes,Yes,53.2,3245.6,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,Boomers,Some College,MiddleClass,0.083086472,176.7,116416.8,904783.2,1021200,0.432088285,0.266836446,0.301075269,Medium
4626-BQZAUJ-V9K,Southeast,small,Female,26,16,Sales,No,0,No,24000,11.7,1.297296,1.510704,Yes,Married,6,1,0,1,0,0,4,Lease,Domestic,9800,27,Yes,No,Disc,8,14,4476.7,Yes,26,17.4,149.4,Yes,27.05,728.55,Yes,No,0,0,Yes,No,No,,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No,Gen Z,Bachelors,LowerClass,0.009929189,44.45,129729.6,151070.4,280800,0.391451069,0.608548931,0,Medium
2969-ODPCDX-5DC,Midwest,very_large,Female,24,17,Labor,No,1,No,29000,14,1.39258,2.66742,Yes,Unmarried,1,12,0,1,0,1,0,NA,NA,1000,14,No,Yes,Disc,5,11,2799.5,Yes,11,11.85,42.4,Yes,19.65,172.75,No,No,0,0,No,No,No,No,No,No,No,No,No,13,No,Yes,Yes,No,No,Gen Z,Bachelors,LowerClass,0.011252009,31.5,139258,266742,406000,0.376190476,0.623809524,0,Medium
4974-FUBHDF-Z7L,West,very_large,Female,77,15,Professional,No,26,Yes,11000,10.2,0.255816,0.866184,No,Unmarried,1,2,0,2,0,1,2,Own,Domestic,3100,21,Yes,No,Visa,39,10,1949.5,Yes,72,268.35,6495.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,No,No,No,23,No,No,No,No,Yes,Boomers,Some College,LowerClass,0.13765068,268.35,25581.6,86618.4,112200,1,0,0,Medium
2525-OSULNV-0KS,Southeast,medium,Male,36,19,Professional,Yes,3,No,30000,15.5,0.41385,4.23615,No,Unmarried,1,7,0,0,0,1,3,Own,Domestic,13100,24,Yes,Yes,AMEX,10,11,3009.7,No,37,20.1,233.85,No,0,0,No,No,0,0,No,No,No,,No,No,No,No,No,15,Yes,Yes,Yes,No,No,Millennials,Masters,LowerClass,0.006678406,20.1,41385,423615,465000,1,0,0,Medium
4973-FHPBZQ-AAA,West,very_small,Male,55,14,Service,No,23,No,80000,6.5,0.0312,5.1688,No,Unmarried,1,9,2,0,0,1,4,Own,Domestic,35000,25,No,No,Visa,21,11,3940.2,No,47,36.75,524.4,No,0,0,Yes,No,0,0,No,No,No,No,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes,Gen X,Some College,MiddleClass,0.009326938,36.75,3120,516880,520000,1,0,0,High
4726-RQKGNB-WAK,Midwest,large,Female,60,18,Professional,No,13,No,51000,7.8,1.209312,2.768688,No,Married,2,2,2,0,0,0,2,Own,Domestic,25200,26,Yes,No,Disc,38,9,1124.7,Yes,71,109.05,2586.85,Yes,55.15,4064.25,Yes,Yes,55.8,3819.5,Yes,Yes,Yes,,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes,Boomers,Masters,LowerMiddle,0.18695666,220,120931.2,276868.8,397800,0.495681818,0.250681818,0.253636364,Medium
6592-QBSENI-6Y4,Northeast,very_large,Female,59,8,Sales,Yes,4,No,30000,2.8,0.26292,0.57708,No,Married,4,1,0,1,0,0,0,NA,NA,1000,15,Yes,No,Visa,2,11,3421.7,No,3,16.5,19.35,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,Gen X,Less Than High School,LowerClass,0.004822164,16.5,26292,57708,84000,1,0,0,High
3550-PQUPPM-42T,West,medium,Male,53,20,Sales,No,11,No,141000,9.9,9.589833,4.369167,No,Married,3,1,0,1,0,1,0,NA,NA,1000,23,Yes,Yes,Disc,13,11,4459,No,36,10.2,122,Yes,49.25,1693.6,Yes,Yes,61.25,2209.2,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,Gen X,Professional or Doctorate,UpperMiddle,0.02706885,120.7,958983.3,436916.7,1395900,0.084507042,0.408036454,0.507456504,Low
9809-NBCXAS-1RB,Southwest,very_small,Male,36,12,Sales,No,5,No,45000,8.3,0.88893,2.84607,Yes,Unmarried,2,3,0,0,3,0,3,Own,Domestic,21200,26,Yes,Yes,Disc,13,13,4611.5,No,38,20.25,244.7,Yes,27.4,1123.6,No,No,0,0,Yes,No,No,,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No,Millennials,Professional or Doctorate,LowerMiddle,0.010332863,47.65,88893,284607,373500,0.424973767,0.575026233,0,High
8733-EDAXNE-8DV,West,very_large,Male,47,20,Crafts,No,17,No,137000,13.7,3.303344,15.465656,No,Married,2,2,2,0,0,1,1,Own,Foreign,78100,21,No,Yes,AMEX,29,8,4161.2,No,69,66.15,1473.3,Yes,44.85,2973,Yes,Yes,36.45,2475.25,Yes,Yes,Yes,,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes,Gen X,Professional or Doctorate,UpperMiddle,0.03543449,147.45,330334.4,1546565.6,1876900,0.448626653,0.304170905,0.247202442,Medium
